5A8	Aleknagik / New Airport
AGGH	Honiara International Airport
AGGM	Munda Airport
AHJ	Hongyuan Airport
ANYN	Nauru International Airport
AU-0121	YKCY
AXF	Alxa Left Banner Bayanhot Airport
AYBK	Buka Airport
AYCH	Chimbu Airport
AYDU	Daru Airport
AYGA	Goroka Airport
AYGN	Gurney Airport
AYGR	Girua Airport
AYHK	Kimbe Airport
AYKM	Kerema Airport
AYKV	Kavieng Airport
AYMD	Madang Airport
AYMH	Mount Hagen Kagamuga Airport
AYMN	Mendi Airport
AYMO	Momote Airport
AYNZ	Nadzab Airport
AYPY	Port Moresby Jacksons International Airport
AYTK	Tokua Airport
AYVN	Vanimo Airport
AYWD	Wapenamanda Airport
AYWK	Wewak International Airport
AZ-0001	Zabrat Airport
AZ-0013	Sital Chay Airport
AZ-0021	Kyzylagadzh Air Base
BCW	Benguera Island Airport
BG-JAM	Bezmer Air Base
BGAA	Aasiaat Airport
BGBW	Narsarsuaq Airport
BGGH	Godthaab / Nuuk Airport
BGSF	Kangerlussuaq Airport
BGTL	Thule Air Base
BIAR	Akureyri Airport
BIEG	EgilsstaÃ°ir Airport
BIHN	HornafjÃ¶rÃ°ur Airport
BIHU	HÃºsavÃ­k Airport
BIIS	ÃsafjÃ¶rÃ°ur Airport
BIKF	Keflavik International Airport
BIRK	Reykjavik Airport
BISI	SiglufjÃ¶rÃ°ur Airport
BIVM	Vestmannaeyjar Airport
BKPR	PriÅ¡tina International Airport
BY-0001	Balbasovo Air Base
BY-0003	Bobrovichi Air Base
BY-0006	Osovtsy Air Base
BZ-BGK	Big Creek Airport
BZ-CUK	Caye Caulker Airport
BZ-CYC	Caye Chapel Airport
BZ-CZH	Corozal Municipal Airport
BZ-DGA	Dangriga Airport
BZ-PLJ	Placencia Airport
BZ-PND	Punta Gorda Airport
BZ-SJX	Sartaneja Airport
BZ-SPR	San Pedro Airport
BZ-TZA	Belize City Municipal Airport
BZB	Bazaruto Island Airport
CA-0671	Cyll
CA-0673	Cycd
CN-0002	Nanjing Air Base
CN-0003	Laohutun Air Base
CN-0004	Pulandian Air Base
CN-0006	Beijing Shahezhen Air Base
CN-0007	Beijing Tongxian Air Base
CN-0010	Yinchuan Hedong International Airport
CN-0012	Yuanmou Air Base
CN-0013	Fengning Air Base
CN-0014	Hohhot Air Base
CN-0015	Huairen Air Base
CN-0016	Liangxiangzhen Air Base
CN-0018	Tangguantun Air Base
CN-0020	Wenshui Air Base
CN-0021	Yangcun Air Base
CN-0022	Yongning Air Base
CN-0024	Zhangjiakou Ningyuan Airport
CN-0025	Zunhua Air Base
CN-0026	Chengdu Air Base
CN-0027	Baoshan Yunduan Airport
CN-0030	Chongqing Air Base
CN-0040	Lintsang Airfield
CN-0041	Luliang Air Base
CN-0043	Mengzi Air Base
CN-0045	Qionglai Air Base
CN-0046	Shigatse Air Base
CN-0048	Wenshan Air Base
CN-0049	Xiangyun Midu Air Base
CN-0050	Bao'anying Airport
CN-0053	Baihe Ning Ming Air Base
CN-0055	Changsha Datuopu Airport/AFB
CN-0056	Dangyang Air Base
CN-0057	Foluo Northeast Air Base
CN-0061	Foshan Shadi Airport
CN-0063	Guiping Mengshu Air Base
CN-0068	Huizhou Airport
CN-0069	Jialaishi Air Base
CN-0071	Leiyang Air Base
CN-0072	Lingshui Air Base
CN-0074	Shangqiu Air Base
CN-0076	Zhengzhou Air Base
CN-0079	Shaoguan Guitou Airport
CN-0080	Suixi Air Base
CN-0081	Jinggangshan Airport
CN-0082	Baise Youjiang Airport
CN-0083	Guodu air base
CN-0085	Xiaogan Air Base
CN-0089	Baitabu Air Base
CN-0090	Cangxian Air Base
CN-0091	Dongying Shengli Airport
CN-0092	Jiaozhou/Jiaocheng Air Base
CN-0093	Jinan Air Base
CN-0094	Jiugucheng Air Base
CN-0095	Kaifeng Air Base
CN-0096	Laiyang Air Base
CN-0097	Luyang Air Base
CN-0100	Qingdao-Cangkou Air Base
CN-0103	Wendeng Air Base
CN-0104	Xingcheng Air Base
CN-0105	Xuzhou Daguozhang Air Base
CN-0106	Xuzhou Jiulishan Air Base
